No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location
Small area,2024-05-31 03:53:15,121.629,23.8255,4,36.2,23.83N 121.63E, i.e. 18.3 km S of Hualien County(23.83N 121.63E, i.e. 18.3 km S of Hualien County)
Small area,2024-05-31 00:06:09,121.614,23.814,3.9,33.2,23.81N 121.61E, i.e. 19.6 km S of Hualien County(23.81N 121.61E, i.e. 19.6 km S of Hualien County)
409   ,2024-05-30 23:52:17,121.649,23.963,5,37.5,23.96N 121.65E, i.e. 4.3 km SE of Hualien County(23.96N 121.65E, i.e. 4.3 km SE of Hualien County)
Small area,2024-05-30 20:09:50,121.67,24.175,4.5,32.3,24.18N 121.67E, i.e. 21.0 km NNE of Hualien County(24.18N 121.67E, i.e. 21.0 km NNE of Hualien County)
408   ,2024-05-30 09:11:39,121.651,24.1917,5.3,32.3,24.19N 121.65E, i.e. 22.4 km N of Hualien County(24.19N 121.65E, i.e. 22.4 km N of Hualien County)
407   ,2024-05-30 07:54:45,121.754,24.0015,5.3,26.7,24.00N 121.75E, i.e. 13.7 km E of Hualien County(24.00N 121.75E, i.e. 13.7 km E of Hualien County)
406   ,2024-05-30 05:42:27,121.622,24.0862,4.2,8.8,24.09N 121.62E, i.e. 10.5 km N of Hualien County(24.09N 121.62E, i.e. 10.5 km N of Hualien County)
405   ,2024-05-29 10:41:51,121.642,24.1662,4.7,32.8,24.17N 121.64E, i.e. 19.5 km N of Hualien County(24.17N 121.64E, i.e. 19.5 km N of Hualien County)
Small area,2024-05-29 07:40:12,121.421,23.8313,4,20.4,23.83N 121.42E, i.e. 26.9 km SW of Hualien County(23.83N 121.42E, i.e. 26.9 km SW of Hualien County)
Small area,2024-05-29 07:40:03,121.795,24.3343,3.5,20.5,24.33N 121.79E, i.e. 44.1 km S of Yilan County(24.33N 121.79E, i.e. 44.1 km S of Yilan County)
Small area,2024-05-29 03:41:51,121.829,24.405,3.9,11.2,24.41N 121.83E, i.e. 36.7 km SSE of Yilan County(24.41N 121.83E, i.e. 36.7 km SSE of Yilan County)
Small area,2024-05-28 23:16:22,121.959,24.4905,3.7,13.6,24.49N 121.96E, i.e. 33.2 km SE of Yilan County(24.49N 121.96E, i.e. 33.2 km SE of Yilan County)
Small area,2024-05-28 20:14:50,121.615,23.8733,4.2,29.1,23.87N 121.61E, i.e. 13.0 km S of Hualien County(23.87N 121.61E, i.e. 13.0 km S of Hualien County)
Small area,2024-05-28 20:08:20,121.666,23.9667,3.7,37.6,23.97N 121.67E, i.e. 5.4 km ESE of Hualien County(23.97N 121.67E, i.e. 5.4 km ESE of Hualien County)
404   ,2024-05-28 19:05:22,121.618,23.9442,4.5,33.2,23.94N 121.62E, i.e. 5.2 km S of Hualien County(23.94N 121.62E, i.e. 5.2 km S of Hualien County)
Small area,2024-05-28 15:08:44,121.552,23.792,3.4,7.5,23.79N 121.55E, i.e. 23.1 km SSW of Hualien County(23.79N 121.55E, i.e. 23.1 km SSW of Hualien County)
403   ,2024-05-28 05:48:49,121.899,24.4772,4.6,26.9,24.48N 121.90E, i.e. 31.3 km SSE of Yilan County(24.48N 121.90E, i.e. 31.3 km SSE of Yilan County)
Small area,2024-05-27 09:22:49,121.689,24.2628,3.5,29.4,24.26N 121.69E, i.e. 30.9 km NNE of Hualien County(24.26N 121.69E, i.e. 30.9 km NNE of Hualien County)
Small area,2024-05-27 01:08:55,121.488,23.918,3.7,16,23.92N 121.49E, i.e. 15.7 km WSW of Hualien County(23.92N 121.49E, i.e. 15.7 km WSW of Hualien County)
Small area,2024-05-26 21:55:23,121.704,24.1323,3.4,25.8,24.13N 121.70E, i.e. 17.8 km NNE of Hualien County(24.13N 121.70E, i.e. 17.8 km NNE of Hualien County)
Small area,2024-05-26 16:27:39,121.65,24.18,4.2,33.5,24.18N 121.65E, i.e. 21.2 km N of Hualien County(24.18N 121.65E, i.e. 21.2 km N of Hualien County)
Small area,2024-05-26 11:54:45,121.721,24.1818,3.4,20,24.18N 121.72E, i.e. 23.5 km NNE of Hualien County(24.18N 121.72E, i.e. 23.5 km NNE of Hualien County)
Small area,2024-05-26 07:04:55,121.376,24.4333,3.3,7.9,24.43N 121.38E, i.e. 51.2 km SW of Yilan County(24.43N 121.38E, i.e. 51.2 km SW of Yilan County)
Small area,2024-05-26 05:09:10,121.296,22.9337,4.5,37.3,22.93N 121.30E, i.e. 24.8 km NE of Taitung County(22.93N 121.30E, i.e. 24.8 km NE of Taitung County)
Small area,2024-05-25 15:30:19,121.449,22.44,4.3,19.4,22.44N 121.45E, i.e. 46.4 km SE of Taitung County(22.44N 121.45E, i.e. 46.4 km SE of Taitung County)
Small area,2024-05-25 13:30:49,121.68,24.2525,4,27.5,24.25N 121.68E, i.e. 29.6 km NNE of Hualien County(24.25N 121.68E, i.e. 29.6 km NNE of Hualien County)
Small area,2024-05-25 12:14:53,121.726,24.186,3.7,19.7,24.19N 121.73E, i.e. 24.1 km NNE of Hualien County(24.19N 121.73E, i.e. 24.1 km NNE of Hualien County)
402   ,2024-05-25 11:48:43,121.719,24.182,4.2,21,24.18N 121.72E, i.e. 23.4 km NNE of Hualien County(24.18N 121.72E, i.e. 23.4 km NNE of Hualien County)
401   ,2024-05-25 01:07:10,121.74,24.1953,5,23.5,24.20N 121.74E, i.e. 25.7 km NNE of Hualien County(24.20N 121.74E, i.e. 25.7 km NNE of Hualien County)
